volcano_name;eruption_number;eruption_category;area_of_activity;vei;start_year;start_month;start_day;evidence_method_dating;end_year;end_month;end_day;latitude;longitude
Lewotobi;16284;Confirmed Eruption;Lewotobi Lakilaki;2;1868;12;15;Historical Observations;NA;NA;NA;-8.542;122.775
Etna;13745;Confirmed Eruption;Central Crater;3;1868;11;26;Historical Observations;1868;12;8;37.748;14.999
Gamalama;16649;Confirmed Eruption;NA;2;1868;11;13;Historical Observations;1869;2;10;0.8;127.33
Kaba;15540;Confirmed Eruption;Kaba Baru ? and Kaba Vogelsang;2;1868;10;0;Historical Observations;1869;0;0;-3.522;102.615
Llullaillaco;11880;Confirmed Eruption;NA;0;1868;9;0;Historical Observations;NA;NA;NA;-24.72;-68.53
Cotopaxi;11573;Confirmed Eruption;NA;2;1868;8;15;Historical Observations;1868;8;16;-0.677;-78.436
Guagua Pichincha;11487;Confirmed Eruption;NA;2;1868;8;0;Historical Observations;NA;NA;NA;-0.171;-78.598
Lewotobi;16283;Confirmed Eruption;Lewotobi Lakilaki;2;1868;7;13;Historical Observations;NA;NA;NA;-8.542;122.775
Iya;16177;Confirmed Eruption;NA;2;1868;5;4;Historical Observations;NA;NA;NA;-8.891;121.641
Kilauea;10066;Confirmed Eruption;SW rift zone (775 m);1;1868;4;2;Historical Observations;NA;NA;NA;19.421;-155.287
Mauna Loa;10196;Confirmed Eruption;SW rift zone (1000 m) and Mokuaweoweo;2;1868;3;27;Historical Observations;1868;4;22;19.475;-155.608
Guagua Pichincha;11486;Confirmed Eruption;NA;2;1868;3;19;Historical Observations;1868;3;22;-0.171;-78.598
Gamalama;16648;Confirmed Eruption;NA;1;1868;3;13;Historical Observations;1868;3;13;0.8;127.33
Fournaise, Piton de la;14287;Confirmed Eruption;NA;0;1868;3;0;Historical Observations;NA;NA;NA;-21.244;55.708
Izalco;10709;Confirmed Eruption;NA;2;1868;2;16;Historical Observations;1868;2;17;13.813;-89.633
Io-Torishima;16916;Confirmed Eruption;NA;1;1868;2;0;Historical Observations;1868;4;0;27.881;128.223
Dukono;16575;Confirmed Eruption;NA;2;1868;0;0;Historical Observations;NA;NA;NA;1.693;127.894
Talang;15487;Uncertain Eruption;NA;NA;1868;0;0;NA;NA;NA;NA;-0.979;100.681
